Epoch,Training Loss,Validation Loss,Avg True Labels,T 0.10 Micro F1,T 0.10 Macro F1,T 0.10 Avg Pred Labels,T 0.30 Micro F1,T 0.30 Macro F1,T 0.30 Avg Pred Labels,T 0.50 Micro F1,T 0.50 Macro F1,T 0.50 Avg Pred Labels,T 0.70 Micro F1,T 0.70 Macro F1,T 0.70 Avg Pred Labels,T 0.90 Micro F1,T 0.90 Macro F1,T 0.90 Avg Pred Labels,Best Threshold,Best Macro F1,Precision@3,Precision@5,Top3 Micro F1,Top3 Macro F1,Top5 Micro F1,Top5 Macro F1,Hybrid T0.10 K3 Micro F1,Hybrid T0.10 K3 Macro F1,Hybrid T0.10 K5 Micro F1,Hybrid T0.10 K5 Macro F1,Hybrid T0.30 K3 Micro F1,Hybrid T0.30 K3 Macro F1,Hybrid T0.30 K5 Micro F1,Hybrid T0.30 K5 Macro F1,Hybrid T0.50 K3 Micro F1,Hybrid T0.50 K3 Macro F1,Hybrid T0.50 K5 Micro F1,Hybrid T0.50 K5 Macro F1,Hybrid T0.70 K3 Micro F1,Hybrid T0.70 K3 Macro F1,Hybrid T0.70 K5 Micro F1,Hybrid T0.70 K5 Macro F1,Hybrid T0.90 K3 Micro F1,Hybrid T0.90 K3 Macro F1,Hybrid T0.90 K5 Micro F1,Hybrid T0.90 K5 Macro F1
11,0.087359,0.124089,4.485119,0.330108,0.30941,20.48869,0.490512,0.442536,10.916667,0.584569,0.4981,7.241071,0.637315,0.500682,4.897619,0.618435,0.418579,2.960714,0.7,0.500682,0.693849,0.559167,0.556183,0.388961,0.58952,0.466905,0.556183,0.388961,0.589742,0.466983,0.556954,0.389155,0.594749,0.46879,0.559699,0.389524,0.608525,0.472037,0.562756,0.384415,0.624307,0.466466,0.54957,0.362606,0.603747,0.419758
12,0.114008,0.118437,4.485119,0.317215,0.291976,21.882738,0.472196,0.424516,11.806548,0.573763,0.493383,7.825,0.637887,0.516742,5.428571,0.633989,0.449805,3.2625,0.7,0.516742,0.7,0.567143,0.561113,0.396526,0.597929,0.474273,0.561113,0.396526,0.598154,0.474373,0.56149,0.396667,0.601607,0.475453,0.563581,0.397907,0.614572,0.480545,0.566729,0.396506,0.630949,0.48145,0.560191,0.378954,0.616982,0.442926
13,0.053896,0.120761,4.485119,0.344199,0.326508,19.435119,0.497899,0.451388,10.817262,0.593418,0.509114,7.270833,0.649062,0.523994,5.094643,0.640583,0.454879,3.197619,0.7,0.523994,0.702183,0.571667,0.562863,0.397187,0.602698,0.482818,0.562863,0.397187,0.603077,0.48298,0.563241,0.397391,0.607815,0.48529,0.565772,0.396508,0.622452,0.489389,0.570331,0.395731,0.636982,0.488939,0.562244,0.378647,0.624507,0.446449
14,0.072819,0.123891,4.485119,0.382112,0.361396,16.877976,0.528473,0.483067,9.720238,0.611846,0.526688,6.720238,0.660595,0.527894,4.730952,0.639605,0.440708,2.993452,0.7,0.527894,0.714484,0.575833,0.572724,0.401696,0.607091,0.487063,0.572724,0.401696,0.607549,0.487199,0.572976,0.401254,0.613645,0.489799,0.576846,0.402124,0.632234,0.495453,0.579887,0.398082,0.647333,0.491198,0.566426,0.37241,0.623928,0.437914
15,0.059779,0.119906,4.485119,0.384577,0.358367,16.849405,0.526796,0.481374,9.986905,0.602071,0.526372,7.242262,0.662305,0.5409,5.068452,0.659232,0.484006,3.200595,0.7,0.5409,0.720833,0.582857,0.577813,0.421209,0.614496,0.509202,0.577859,0.421211,0.615385,0.509739,0.578001,0.421229,0.620677,0.512032,0.580464,0.421354,0.632829,0.515915,0.58584,0.418872,0.652195,0.516171,0.577346,0.397642,0.644162,0.479517
16,0.058468,0.118689,4.485119,0.383595,0.354327,16.922619,0.528577,0.477327,9.897619,0.617126,0.530578,6.977381,0.674634,0.548862,4.978571,0.66498,0.490225,3.280952,0.7,0.548862,0.72381,0.588214,0.580199,0.424658,0.620144,0.506379,0.580199,0.424658,0.620963,0.506728,0.580964,0.424951,0.626866,0.509332,0.584363,0.42618,0.642679,0.516579,0.589469,0.423614,0.660983,0.51822,0.580557,0.405288,0.647612,0.47973
17,0.059293,0.117235,4.485119,0.375476,0.346256,17.407738,0.52028,0.476719,10.307738,0.606021,0.524957,7.319048,0.665813,0.546976,5.280952,0.670388,0.50343,3.406548,0.7,0.546976,0.728968,0.588333,0.584334,0.431483,0.62027,0.510782,0.584334,0.431483,0.620659,0.511019,0.584939,0.431576,0.626165,0.513011,0.586889,0.430852,0.63943,0.516131,0.590639,0.43069,0.656358,0.520009,0.583792,0.413613,0.652353,0.491141
18,0.06187,0.11935,4.485119,0.401764,0.378127,15.895238,0.538578,0.495678,9.66369,0.618153,0.538366,6.958333,0.667452,0.549312,5.114286,0.669036,0.499048,3.385119,0.7,0.549312,0.727381,0.588214,0.583062,0.421933,0.620144,0.511302,0.583108,0.42194,0.621197,0.5115,0.583978,0.422039,0.628659,0.513617,0.587044,0.421899,0.643611,0.518165,0.591028,0.421755,0.656725,0.51743,0.58682,0.406489,0.650914,0.487149
19,0.059972,0.124646,4.485119,0.427801,0.404432,14.39881,0.55758,0.516492,9.072619,0.631748,0.547844,6.606548,0.681555,0.556445,4.870238,0.677791,0.493415,3.3625,0.7,0.556445,0.732937,0.593571,0.587515,0.419032,0.625792,0.513536,0.587515,0.419032,0.626729,0.514013,0.588807,0.419399,0.635481,0.516548,0.592003,0.419112,0.650913,0.521355,0.596805,0.417642,0.668068,0.519159,0.591947,0.39728,0.659133,0.476582
20,0.045725,0.123922,4.485119,0.444147,0.419338,13.722619,0.574695,0.525189,8.532143,0.646707,0.55558,6.250595,0.690611,0.562199,4.663095,0.672503,0.497668,3.197619,0.7,0.562199,0.736905,0.596071,0.590696,0.425898,0.628428,0.522718,0.590884,0.42593,0.630836,0.523357,0.592462,0.425602,0.640571,0.525678,0.595841,0.425981,0.6573,0.530219,0.600099,0.424912,0.67166,0.527483,0.590925,0.406204,0.653683,0.485324
21,0.047532,0.125489,4.485119,0.443956,0.420997,13.671429,0.57436,0.528466,8.566667,0.646438,0.562853,6.284524,0.686821,0.571398,4.769048,0.675543,0.503745,3.293452,0.7,0.571398,0.737302,0.591905,0.591014,0.43464,0.624035,0.523456,0.591061,0.434646,0.625763,0.524339,0.592197,0.434474,0.635401,0.527666,0.5965,0.436341,0.653887,0.533067,0.600196,0.434563,0.667463,0.532078,0.593734,0.419107,0.656781,0.491117
22,0.04189,0.124042,4.485119,0.442177,0.420705,13.771429,0.575882,0.522359,8.53631,0.649389,0.559949,6.286905,0.6895,0.563887,4.760714,0.681759,0.50678,3.35,0.7,0.563887,0.743056,0.596071,0.595626,0.431866,0.628428,0.517399,0.595768,0.431933,0.630208,0.518224,0.597602,0.431902,0.642181,0.521426,0.600969,0.432721,0.659921,0.528817,0.606215,0.430131,0.675012,0.528143,0.597389,0.410629,0.664166,0.490985
